feature,importance
V70,0.09924061
V90,0.09691456
R_emaildomain,0.07417022
V200,0.05340054
V100,0.049544908
C8,0.045314565
C14,0.03735307
V14,0.03617794
V160,0.026542269
C1,0.025981521
V30,0.022915944
card6,0.021333436
D3,0.01818996
C4,0.017665876
card3,0.015971413
C5,0.0144529175
C3,0.014084301
C11,0.013937068
D2,0.013395644
ProductCD,0.012436013
addr2,0.012208519
P_emaildomain_isnull,0.011159502
emails_match,0.011034946
C6,0.010928217
C13,0.010745949
C2,0.009191252
D1,0.008722509
P_emaildomain_is_highrisk,0.00829656
R_emaildomain_is_highrisk,0.0080425795
V300,0.007958018
C7,0.0077587217
card1_amt_mean,0.0075663184
D15,0.007222935
V20,0.006952456
C9,0.006950815
C12,0.006569228
D10,0.006504042
V130,0.0063863476
D4,0.005936887
card1_distinct_products,0.0053434665
V12,0.0053432407
card1_amt_std,0.0053336876
addr1,0.005271836
P_emaildomain,0.005085013
card1,0.005068616
TransactionAmt,0.004949066
card2,0.0048979726
card1_distinct_addr1,0.0048946724
dist1,0.004824373
card1_total_txns,0.0047643944
V40,0.0047221673
card5,0.004532184
C10,0.004356201
card4,0.0042863977
txn_day,0.0041338727
card1_amt_zscore,0.0036371131
card1_amt_sum_7d,0.0035874508
card1_txn_count_7d,0.003556385
V250,0.0034302825
R_emaildomain_isnull,0.003364924
dist2,0.0032856856
card1_txn_count_24h,0.0032762212
V50,0.0032317892
V1,0.0030987323
card1_txn_count_1h,0.0030772435
card1_amt_sum_24h,0.0029673448
card1_seconds_since_last,0.0029458173
txn_hour,0.002837707
card1_amt_sum_1h,0.0028366384
is_night,0.0027586534
card1_amt_max_24h,0.0027411364
txn_dayofweek,0.0024010453
